Comercio  ,Distancia  ,Precio de lista,Promo A  ,Promo B  ,Nombre Del Articulo,Articulo + Pagina
S I M P L I C I T Y Peatonal Cordoba1025 Rosario,0.61 Kms,,,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Mendoza255 Rosario,0.77 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Urquiza1145 Rosario,0.82 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega9 De Julio734 Rosario,0.90 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
F U L L Mitre Y Urquiza0 Rosario,0.90 Kms,"$830,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Catamarca1498 Rosario,1.36 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
C O T O C I C S A Urquiza1644 Rosario,1.46 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
F U L L Santa Fe16940 R O S A R I O,1.47 Kms,"$830,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Av. Pellegrini1194 Rosario,1.49 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
C O T O C I C S A Tres De Febrero1602 Rosario,1.55 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Dorrego965 Rosario,1.76 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
Axion Energy San Martín1983 Rosario,1.85 Kms,"$890,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Balcarce248 Rosario,2.17 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Av. Pellegrini1966 Rosario,2.25 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
F U L L Boulevard Oroño13020 R O S A R I O,2.30 Kms,"$840,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
La Gallega Entre Rios2361 Rosario,2.32 Kms,"$629,45",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
Hipermercado Carrefour Pueyrredón747 Rosario,2.51 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
Hipermercado Carrefour Necochea2579 Rosario,2.53 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
Axion Energy Ovidio Lagos781 Rosario,3.11 Kms,"$890,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
Hipermercado Carrefour C. Pellegrini3250 Rosario,3.73 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
F U L L27 De Febrero Y O. Lagos0 R O S A R I O,3.86 Kms,"$830,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
C O T O C I C S A Mendoza3901 Rosario,4.40 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
C O T O C I C S A Av. Junin590 Rosario,4.49 Kms,"$630,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
F U L L Av. San Martin Y Uriburu0 R O S A R I O,5.00 Kms,"$830,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
Axion Energy Bvd. Avellaneda1698 Rosario,5.02 Kms,"$890,00",,,Gaseosa Naranja Fanta Zero 500 Cc,Articulo 2 + Pagina 1
